date,AAPL,AMZN,F
2017-03-21,136.6541,843.2,10.7117
2017-03-22,138.1981,848.06,10.7574
2017-03-23,137.7094,847.38,10.666
2017-03-24,137.4358,845.61,10.6203
2017-03-27,137.6704,846.82,10.4741
2017-03-28,140.5238,856.0,10.6477
2017-03-29,140.8365,874.32,10.6752
2017-03-30,140.6509,876.34,10.6752
2017-03-31,140.387,886.54,10.6386
2017-04-03,140.4261,891.51,10.4558
2017-04-04,141.4717,906.83,10.3918
2017-04-05,140.7388,909.28,10.2913
2017-04-06,140.387,898.28,10.3004
2017-04-07,140.0743,894.88,10.2639
2017-04-10,139.9082,907.04,10.2822
2017-04-11,138.4033,902.36,10.3096
2017-04-12,138.5694,896.23,10.2639
2017-04-13,137.8365,884.67,10.1542
2017-04-17,138.5987,901.99,10.3096
2017-04-18,137.9831,903.78,10.3188
2017-04-19,137.4749,899.2,10.3652
2017-04-20,139.1948,902.06,10.6245
2017-04-21,139.0287,898.53,10.5041
2017-04-24,140.3675,907.41,10.5875
2017-04-25,141.2372,907.62,10.6338
2017-04-26,140.4066,909.29,10.7449
2017-04-27,140.5141,918.38,10.6245
2017-04-28,140.3772,924.99,10.6245
2017-05-01,143.2405,948.23,10.5782
2017-05-02,144.1493,946.94,10.1151
2017-05-03,143.7096,941.03,10.254
2017-05-04,143.1916,937.53,10.1892
2017-05-05,145.5663,934.15,10.3188
2017-05-08,149.524,949.04,10.3096
2017-05-09,150.4817,952.82,10.3374
2017-05-10,149.7683,948.95,10.2262
2017-05-11,151.0636,947.62,10.1984
2017-05-12,153.1733,961.35,10.1151
2017-05-15,152.7808,957.97,10.1336
2017-05-16,152.5551,966.07,10.1336
2017-05-17,147.433,944.76,9.9669
2017-05-18,149.68,958.49,9.9946
2017-05-19,150.1903,959.84,10.0687
2017-05-22,151.1029,970.67,10.2818
2017-05-23,150.9164,971.54,10.2355
2017-05-24,150.465,980.35,10.1521
2017-05-25,150.9851,993.38,10.0595
2017-05-26,150.73,995.78,10.1243
2017-05-30,150.7889,996.7,10.2633
2017-05-31,149.8959,994.62,10.3003
2017-06-01,150.308,995.95,10.5689
2017-06-02,152.5355,1006.73,10.5134
2017-06-05,151.044,1011.34,10.4207
2017-06-06,151.5542,1003.0,10.3003
2017-06-07,152.457,1010.07,10.254
